date,reliance_open,reliance_high,reliance_low,reliance_close,reliance_volume,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume,reliance_return,nifty_return
2021-05-03,891.4458158814281,897.3404357451366,881.0622873144365,888.2944946289062,23640186,14481.0498,14673.84961,14416.25,14634.15039,448900,-0.017773899648350078,0.00020851337775851242
2021-05-04,884.1909583,892.2620588404909,866.5071582786076,869.0463256835938,21849830,14687.25,14723.40039,14461.5,14496.5,503400,-0.02166867976971265,-0.009406107381133788
2021-05-05,872.1071390573795,878.9766005658655,865.1696137978273,870.6334838867188,12393609,14604.15039,14637.90039,14506.59961,14617.84961,455900,0.0018263217462850534,0.008370959197047556
2021-05-06,871.4269155650811,877.3895395810054,864.5120588,875.5758056640625,14624666,14668.34961,14743.90039,14611.5,14724.7998,467800,0.005676696185954233,0.007316410611232227
2021-05-07,878.6364644741296,886.7529013481309,873.3086623,875.9158935546875,12288548,14816.84961,14863.0498,14765.5,14823.15039,488000,0.00038841627238328513,0.0066792480261768095
2021-05-10,879.2032403073009,882.7399763357812,871.0188000480982,873.3992919921875,13941237,14928.25,14966.90039,14892.5,14942.34961,522000,-0.002873108686596626,0.008041422832788081
2021-05-11,868.3208832,878.9991548596583,866.0536709526697,876.5506591796875,13478264,14789.7002,14900.0,14771.40039,14850.75,647400,0.0036081632036955025,-0.006130201232789845
2021-05-12,875.1676804843173,876.4372641804301,864.6934200952072,867.4819946289062,13177961,14823.5498,14824.0498,14649.7002,14696.5,643800,-0.010345853323831977,-0.0103866808073666
2021-05-14,874.2380874670803,880.5634577549068,864.2399737584975,878.432373,13291616,14749.40039,14749.65039,14591.90039,14677.7998,620700,0.012623176548786086,-0.001272425407409905
2021-05-17,878.4323196410428,890.2895022472771,875.3036065895062,888.8839111328125,11873078,14756.25,14938.0,14725.34961,14923.15039,546400,0.011897942805908501,0.016715760764089538
2021-05-18,898.2473602910601,908.0414631541172,894.3931533556103,901.3986816,12064918,15067.2002,15137.25,15043.7002,15108.09961,583900,0.014079195618737605,0.012393443419556505
2021-05-19,897.7938200130252,914.3214349,894.1664125157001,905.5248413085938,16317002,15058.59961,15133.40039,15008.84961,15030.15039,569100,0.004577508035922273,-0.005159432490662419
2021-05-20,905.910251008994,911.8048706158812,898.2472934944823,900.2423706054688,11422532,15042.59961,15069.7998,14884.90039,14906.0498,480300,-0.005833601092037566,-0.008256776331564075
2021-05-21,903.2350263,911.2153947907652,900.5144557,908.0187377929688,10785605,14987.7998,15190.0,14985.84961,15175.2998,572900,0.008638081744885895,0.018063135680654874
2021-05-24,910.4899555985552,911.3061808075764,898.7007755187158,900.3557739257812,8551760,15211.34961,15256.25,15145.4502,15197.7002,579800,-0.008439213364487497,0.00147610922322583
2021-05-25,905.2301329831128,905.5022080454436,888.7252453359569,890.1535645,14780102,15291.75,15293.84961,15163.40039,15208.4502,441500,-0.011331308935019102,0.0007073438650935238
2021-05-26,895.5267109206686,897.5671839561246,891.1284738713696,893.2822266,7480204,15257.0498,15319.90039,15194.9502,15301.4502,384000,0.0035147442247869254,0.006115021502979934
2021-05-27,893.3956745411289,903.6885320706948,889.7455387788042,896.0255737304688,26819294,15323.9502,15384.5498,15272.5,15337.84961,0,0.0030710866608312237,0.002378820930319492
2021-05-28,902.3282518740784,954.4728157,902.3282518740784,949.8478393554688,56469931,15421.2002,15469.65039,15394.75,15435.65039,468100,0.06006777842391142,0.006376433625756572
