Date,Open,High,Low,Close,Volume
03-10-2023,19622.40039,19623.19922,19479.65039,19528.75,221700
04-10-2023,19446.30078,19457.80078,19333.59961,19436.09961,277100
05-10-2023,19521.84961,19576.94922,19487.30078,19545.75,234900
06-10-2023,19621.19922,19675.75,19589.40039,19653.5,159100
09-10-2023,19539.44922,19588.94922,19480.5,19512.34961,165100
10-10-2023,19565.59961,19717.80078,19565.44922,19689.84961,216600
11-10-2023,19767,19839.19922,19756.94922,19811.34961,213700
12-10-2023,19822.69922,19843.30078,19772.65039,19794,217900
13-10-2023,19654.55078,19805.40039,19635.30078,19751.05078,255000
16-10-2023,19737.25,19781.30078,19691.84961,19731.75,181000
17-10-2023,19843.19922,19849.75,19775.65039,19811.5,185800
18-10-2023,19820.44922,19840.94922,19659.94922,19671.09961,198900
19-10-2023,19545.19922,19681.80078,19512.34961,19624.69922,230300
20-10-2023,19542.15039,19593.80078,19518.69922,19542.65039,198300
23-10-2023,19521.59961,19556.84961,19257.84961,19281.75,176000
25-10-2023,19286.44922,19347.30078,19074.15039,19122.15039,225300
26-10-2023,19027.25,19041.69922,18837.84961,18857.25,300400
27-10-2023,18928.75,19076.15039,18926.65039,19047.25,205200
30-10-2023,19053.40039,19158.5,18940,19140.90039,180100
31-10-2023,19232.94922,19233.69922,19056.44922,19079.59961,206000
01-11-2023,19064.05078,19096.05078,18973.69922,18989.15039,194100
02-11-2023,19120,19175.25,19064.15039,19133.25,245600
03-11-2023,19241,19276.25,19210.90039,19230.59961,189500
06-11-2023,19345.84961,19423,19309.69922,19411.75,180700
07-11-2023,19404.05078,19423.5,19329.09961,19406.69922,198700
08-11-2023,19449.59961,19464.40039,19401.5,19443.5,195000
09-11-2023,19457.40039,19463.90039,19378.34961,19395.30078,208400
10-11-2023,19351.84961,19451.30078,19329.44922,19425.34961,152200
13-11-2023,19486.75,19494.40039,19414.75,19443.55078,189300
15-11-2023,19651.40039,19693.19922,19579.65039,19675.44922,291500
16-11-2023,19674.69922,19875.25,19627,19765.19922,282700
17-11-2023,19674.75,19806,19667.44922,19731.80078,236800
20-11-2023,19731.15039,19756.44922,19670.5,19694,173800
21-11-2023,19770.90039,19829.09961,19754.05078,19783.40039,195000
22-11-2023,19784,19825.55078,19703.84961,19811.84961,184500
23-11-2023,19828.44922,19875.15039,19786.75,19802,170000
24-11-2023,19809.59961,19832.84961,19768.84961,19794.69922,145900
28-11-2023,19844.65039,19916.84961,19800,19889.69922,229600
29-11-2023,19976.55078,20104.65039,19956.30078,20096.59961,236200
30-11-2023,20108.5,20158.69922,20015.84961,20133.15039,486600
01-12-2023,20194.09961,20291.55078,20183.69922,20267.90039,265800
04-12-2023,20601.94922,20702.65039,20507.75,20686.80078,381100
05-12-2023,20808.90039,20864.05078,20711.15039,20855.09961,421000
06-12-2023,20950.75,20961.94922,20852.15039,20937.69922,359200
